ID,QC1,QC2,QC3,QC4,QC5
2Q6NUK1,672336.8082,863684.9782,890219.8149,695018.6402,645464.9352
2Q6NVY1,35743.16876,96117.50989,0,25384.50965,44050.66532
2Q6NZI2,616508.8411,148241.973,437407.1568,279374.4536,631636.1537
2Q6P179,0,0,104458.7767,0,0
2Q6P1A2,185693.0232,184164.4154,216079.3679,132886.188,422349.3506
2Q6P2Q9,131823.9322,82807.52825,267168.767,222510.5266,256104.1616
2Q6P4A8,51261.46899,0,95607.09567,0,0
2Q6PI78,56366.13144,0,0,76800.81584,63898.15227
2Q6PIU2,45677.61912,0,78946.26503,0,83115.09925
2Q6UW02,65248.47581,0,0,0,78418.37285
2Q6UW68,106326.9489,0,0,78665.72632,0
2Q6UWY5,34391.96555,99392.66365,107454.0424,56553.86297,123840.6734
2Q6YHK3,166988.9165,175468.3175,362579.1587,234471.7546,103622.1704
2Q6YN16,74902.78583,0,0,102971.8017,50962.24534
2Q6ZMJ2,32191.91607,0,0,44753.32505,0
2Q6ZMZ3,79254.43949,0,0,0,44001.94603
2Q709C8,59439.24988,0,0,0,0
2Q70UQ0,215012.9743,186049.5835,83122.64906,267367.9607,442708.3901
2Q71DI3,10503682.89,2652353.303,711523.1522,12775994.74,9709191.243
2Q71U36,69418.98608,183052.4269,216723.1265,0,66056.79133
2Q7KZF4,1928650.371,1731314.041,1622092.892,1738621.64,2789085.343
2Q7L1Q6,440599.6665,177596.7331,77153.5761,288642.4249,234049.3163
2Q7L2H7,152097.246,0,0,0,0
2Q7L576,392723.0511,146469.7412,231744.1609,248707.5397,419229.4426
2Q7L5N7,26809.2196,0,0,0,0
2Q7Z3D6,52273.55495,0,0,51189.9821,0
2Q7Z406,384002.8932,155739.2082,582735.6645,96984.39796,99303.01842
2Q7Z4W1,132382.1065,0,0,180267.1357,0
2Q7Z6Z7,30774.36384,112632.2773,40269.7838,30027.5483,41828.31642
2Q7Z7G0,554151.2872,407118.1188,440259.3651,477272.2356,688019.3563
2Q7Z7H5,69436.88979,406640.3112,88990.68767,0,0
2Q86UE4,120955.3296,43772.3866,216437.0116,153051.6641,158431.3654
2Q86UK7,163355.5174,117558.039,0,0,0
2Q86UP2,128611.7967,0,0,0,0
2Q86UX7,709176.3157,821524.975,218591.8147,460637.4152,603744.3633
2Q86VB7,552013.3741,822697.7754,1202576.86,748306.6466,1447431.202
2Q86VP6,616508.8411,453760.8258,422591.7675,413935.4398,237778.2153
2Q86X76,46048.33115,0,0,0,0
2Q86Y39,31625.31644,0,0,0,0
2Q86Y82,124852.0185,56223.18334,38521.80034,0,144527.6311
2Q8IV08,212917.1875,0,114329.7421,113399.684,160136.5403
2Q8IXM2,35376.66937,0,0,0,0
2Q8IZ83,0,0,0,96420.85098,0
2Q8IZP0,54014.42704,64673.42755,0,0,66113.9428
2Q8N163,69845.51554,0,103591.4907,24758.72355,27290.29456
2Q8N392,22553.40343,0,153232.433,33966.71905,52881.03562
2Q8N5K1,419441.699,182383.4963,278121.6046,172560.8005,222366.0571
2Q8N684,0,0,0,0,39047.56957
2Q8N961,68326.86003,57526.29492,0,0,0
2Q8NBJ5,223733.1321,186336.268,378083.012,222510.5266,63234.82047
2Q8NBQ5,401074.6032,251239.912,603639.9374,668821.6271,594693.8193
2Q8NBS9,1763304.383,986368.5894,2335502.615,1713273.342,3031370.092
2Q8NC56,37536.69881,30673.50903,35933.35423,45384.76926,0
2Q8NEW0,54628.41883,0,183569.5578,0,0
2Q8TCJ2,566410.0598,242474.3148,350839.505,81399.7213,527217.6104
2Q8TCT9,131960.8428,68097.13603,67370.23335,225441.4235,199252.5043
2Q8WU39,355546.5327,593289.326,535857.5197,538345.7906,395731.7569
2Q8WUM4,256570.6347,229269.4508,161109.5349,369406.1756,105477.2508
2Q8WUY1,38055.90627,43820.16736,0,0,0
2Q8WYA6,21796.18199,0,0,0,0
2Q8WZ42,1958244.144,1515779.386,2322448.621,2259732.851,2046584.71
2Q92499,72210.91102,493627.3526,201308.6841,136224.4682,161167.1406
2Q92522,50739.10205,66960.82273,88038.46138,80666.43125,94899.54463
2Q92608,116195.0502,29588.45146,72706.27699,0,175455.0076
2Q92616,36255.00411,0,148797.6514,49282.07004,103725.2304
2Q92621,0,0,45712.22644,0,0
2Q92629,32817.49261,41729.10765,0,45265.94911,44064.71896
2Q92688,28962.93008,0,0,136382.8951,100577.2151
2Q92734,498797.2417,580857.6416,84657.83453,302900.8425,165673.6744
2Q92743,18001.64954,168344.6409,205555.7028,18603.83999,29538.87692
2Q92841,82526.605,94414.77743,277567.2569,0,128487.7436
2Q92882,62257.50379,0,0,49241.33171,0
2Q92896,62362.81971,386407.3321,278827.9509,148717.5579,65194.83476
2Q92900,38642.51593,0,33296.62623,22629.01388,38491.98234
2Q92954,1712542.111,1421086.611,1354307.19,1744053.418,1387000.552
2Q93052,34956.45886,0,143370.4086,21276.72746,32397.38724
2Q969G5,106116.317,231519.4901,0,136439.4761,188834.0727
2Q969H8,474511.3915,228053.2133,614923.5953,801775.7122,249114.8181
2Q969V3,117279.8041,103501.8088,0,148842.0361,89553.54007
2Q969X5,77313.46715,142881.8407,0,272267.8772,80252.84129
2Q96A05,75120.78978,0,0,0,75670.41783
2Q96A26,32520.50173,0,168772.0507,44812.16932,61923.14743
2Q96A32,21298.03771,65622.96152,33391.40181,35553.2509,22678.82691
2Q96AB3,69693.86062,0,0,0,0
2Q96AC1,469340.38,285954.8044,152374.0881,213582.0413,341166.1584
2Q96AE4,191580.1829,522808.3645,205171.2358,426202.2053,190557.9858
2Q96AG4,253168.9307,496381.2618,254231.007,228394.9529,189349.3728
2Q96C19,223059.1103,371152.2393,235177.5402,272822.3712,186323.1557
2Q96CW1,471341.3824,528489.931,563253.0253,623160.7424,429685.3506
2Q96CX2,1070430.971,1120415.334,941944.0315,826297.9271,1180599.429
2Q96DB5,54419.89331,0,0,79005.21245,50988.4788
2Q96DG6,45072.0526,102980.5642,150237.1672,0,74836.56853
2Q96DZ1,0,0,0,68257.08154,82598.86222
2Q96F85,95181.36547,32919.20465,0,0,0
2Q96G03,468044.9942,241119.0787,247560.9525,516584.7296,301797.2289
2Q96GG9,55657.35533,0,0,0,0
2Q96HC4,124314.9073,172436.4112,184275.904,199776.272,67959.65415
2Q96I99,606503.8291,77590.73824,0,156650.2171,432908.3186
2Q96IU4,96304.03314,58400.24842,0,54770.42917,51482.23001
2Q96IX5,280066.6156,147729.4157,205287.47,88119.28345,111229.874
2Q96JB5,135646.8999,177370.8604,201138.8034,202922.1768,123643.9224
2Q96JJ7,74209.80711,99331.85178,0,0,0
2Q96KP4,808131.1504,888982.7176,500003.7412,560084.2192,607014.1768
2Q96M27,43377.51951,0,107033.8111,0,54399.76562
2Q96PE7,78583.5771,0,0,0,0
2Q96QK1,672336.8082,214014.3579,595190.6055,919260.546,200245.6281
2Q96S97,234496.4187,56167.58392,0,235410.9996,102882.012
2Q96TA1,85948.31911,0,0,111395.5842,0
2Q99436,137521.5232,0,85581.44933,191538.0752,110714.5739
2Q99439,64802.98948,80744.26825,118961.2277,328418.8833,124402.819
2Q99460,154772.2703,79656.60446,304774.9996,113456.265,95986.35944
2Q99497,833701.8549,703602.0647,1670732.432,790855.575,422780.3289
2Q99536,580480.2662,734650.8698,665074.1798,876100.5426,657925.8291
2Q99584,284932.2109,487059.6703,574974.7967,435662.5522,268293.3518
2Q99613,290745.6495,128981.9839,417924.5175,95181.7266,421093.8921
2Q99623,1549197.126,1058734.719,1624149.343,1310076.98,1372291.075
2Q99714,275000.9201,468381.7377,310416.8285,428329.6517,234311.6509
2Q99715,177025.5233,278066.6356,184481.5491,140230.4046,193884.0139
2Q99729,26747.08321,302043.8886,83032.34403,51119.82163,44435.73505
2Q99798,951350.2647,990625.4205,590872.0581,487004.1714,817931.2021
2Q99829,249893.6057,221294.4079,331750.2738,284115.9432,322109.4229
