Majority protein IDs,QC1,QC2,QC3,QC4,QC5,QC6,QC7,QC8
P31327,134140000,101000000,0,103770000,126620000,118170000,114930000,141750000
P31350,371400000,236260000,324890000,252450000,293880000,336880000,302600000,313830000
P31431,0,0,0,0,0,86459000,73400000,80472000
P31483,40539000,51475000,34683000,28649000,45036000,42159000,0,0
P31641,47338000,85555000,0,0,0,0,0,0
P31689,2165400000,1924300000,1874400000,1819000000,1990400000,1652700000,2021700000,2149600000
P31749,274390000,313720000,306130000,269930000,329970000,309100000,313830000,361160000
P31751,0,0,0,0,0,0,0,0
P31930,2746300000,2930900000,2722100000,2795000000,2583300000,2921600000,2661200000,2553500000
P31937,350660000,203330000,258500000,298100000,342010000,300920000,296470000,314370000
P31939,7982900000,7428200000,7935500000,8363200000,8443100000,8456800000,7584600000,7493200000
P31942,284180000,623800000,715950000,759330000,673720000,997890000,819560000,456670000
P31943,5866400000,7092800000,6850900000,6624600000,6929800000,8689800000,7052800000,7617400000
P31946,8294300000,10319000000,7082000000,6990600000,5329900000,4967500000,6381600000,7083500000
P31947,15940000000,18069000000,15917000000,15930000000,16443000000,18367000000,18627000000,17958000000
P31948,12085000000,12568000000,12673000000,12911000000,14295000000,13772000000,13274000000,12332000000
P31949,3426900000,3180500000,2437200000,2300100000,2702200000,1669700000,2261600000,2951000000
P32019,0,0,0,0,0,0,0,0
P32119,8961600000,9726600000,9064400000,9241800000,8649200000,10249000000,9383600000,8464600000
P32121,0,88797000,126240000,138950000,122100000,145590000,109980000,119560000
P32320,272630000,318680000,270460000,257150000,237160000,235560000,211910000,188020000
P32321,110930000,135030000,142290000,166380000,168450000,168860000,150850000,154380000
P32322,3060900000,3201400000,2803400000,2911500000,3915700000,3663700000,3686200000,3314400000
P32780,29468000,26357000,0,21873000,0,33155000,0,0
P32929,238130000,178630000,189310000,210800000,221870000,180830000,251300000,222010000
P32969,7010700000,7597900000,6214300000,6829900000,6999800000,6929000000,5992900000,5904900000
P33121,0,45659000,51589000,50745000,0,54712000,48457000,57360000
P33176,4441400000,5333400000,4849200000,5212000000,4251900000,4789200000,4642800000,4544400000
P33240,300890000,350200000,175770000,419870000,215200000,231710000,192950000,177470000
P33316,919100000,1030100000,1033500000,1088400000,720470000,1057900000,1010700000,895730000
P33527,200920000,128000000,156310000,160890000,169070000,162740000,165240000,163260000
P33552,0,0,0,0,0,0,0,74481000
P33908,327520000,244440000,229560000,215740000,304670000,280840000,272110000,281320000
P33947,67326000,68588000,33340000,78057000,140360000,0,79822000,89603000
P33991,2927500000,2504900000,2749300000,2460400000,2563800000,2745200000,2654400000,2660400000
P33992,2806200000,2614200000,2802300000,2605200000,3041400000,2614100000,2389000000,2558400000
P33993,2833200000,2397200000,2733800000,2767900000,2661700000,2573900000,2542300000,2651400000
P34896,682890000,722050000,721370000,667700000,720580000,717240000,678770000,625400000
P34897,10505000000,10128000000,9175500000,9554000000,10480000000,9638800000,9537500000,9913700000
P34913,0,0,0,0,0,0,0,0
P34932,16460000000,18313000000,17547000000,18682000000,16746000000,17229000000,17259000000,17397000000
P34949,953140000,724100000,822460000,743710000,852290000,837830000,727320000,732560000
P35052,87467000,0,69965000,0,0,76853000,64508000,81839000
P35080,869880000,725470000,712750000,663650000,939710000,893520000,775750000,753370000
P35221,4172900000,4236700000,3896400000,4035800000,4063700000,4298200000,4076400000,4019100000
P35222,3852200000,3349000000,3430600000,3157900000,3695700000,3017800000,2967400000,3310100000
P35232,6652000000,6237200000,5189900000,4604500000,6342200000,6613400000,5835600000,5744400000
P35237,1440700000,1309700000,1353000000,1386300000,1290700000,1350900000,1267800000,1202100000
P35241,2337200000,2056200000,2132100000,2182800000,1941600000,2051000000,2102300000,2111400000
P35244,944380000,758550000,912480000,811680000,978900000,808740000,836410000,900880000
P35249,886850000,754610000,788050000,790940000,895350000,944260000,854600000,774000000
P35250,700820000,761930000,847410000,935630000,827320000,733520000,779270000,783790000
P35251,83833000,65262000,85180000,70912000,99226000,96575000,107180000,112720000
P35268,2193800000,2141700000,2754900000,2785900000,2102200000,2330700000,2421600000,2561000000
P35269,309720000,390940000,487640000,449420000,454810000,498860000,475250000,526730000
P35270,590210000,483080000,584920000,555560000,717310000,641330000,611290000,594180000
P35499,0,0,0,0,0,0,0,22552000
P35568,130550000,0,107660000,110310000,105670000,70217000,80714000,0
P35573,1017600000,768730000,761920000,880890000,1026100000,988170000,932930000,890320000
P35579,20106000000,22700000000,22527000000,22683000000,20455000000,22190000000,22477000000,21929000000
P35580,598990000,610890000,568050000,557620000,580320000,749440000,666890000,687100000
P35606,3716500000,3810900000,3777700000,3653700000,3306600000,3622500000,3249700000,3418200000
P35610,110190000,92650000,119940000,106110000,93658000,107710000,0,112150000
P35611,37618000,36399000,34203000,0,40779000,0,40079000,40503000
P35613,3998400000,4046200000,4602300000,4560400000,3220500000,4324800000,4018900000,4215200000
P35637,2171200000,2694400000,2413200000,2255800000,1536400000,1733400000,1826400000,1925400000
P35659,588460000,822360000,643620000,740600000,632920000,736590000,709850000,727730000
P35754,619960000,604010000,540420000,589470000,696800000,686800000,580500000,622420000
P35813,351440000,371590000,368500000,420710000,297390000,312310000,367930000,366450000
P35914,0,112970000,126220000,100420000,148430000,158470000,114970000,121320000
P35998,3980600000,4526200000,4252900000,4369000000,4104000000,3552000000,3853100000,4046400000
P36404,265720000,227580000,262490000,0,291620000,272790000,236620000,0
P36405,1417600000,1186600000,1370000000,1296600000,1379000000,1420300000,1345800000,1381800000
P36406,0,0,0,0,0,0,0,0
P36507,1393900000,1697700000,1495300000,1435500000,1526000000,1574500000,1524400000,1562600000
P36542,3616900000,2596200000,2922800000,3282500000,3385000000,3514300000,3206400000,2591000000
P36543,381660000,394740000,336680000,319860000,408100000,257870000,279940000,336700000
P36551,31197000000,32133000000,30605000000,31200000000,32815000000,34078000000,30676000000,32616000000
P36578,15669000000,16938000000,15550000000,15376000000,15017000000,14774000000,13708000000,14329000000
P36639,507300000,312100000,334560000,283750000,307650000,277980000,313630000,280540000
P36776,2582100000,2585900000,2530900000,2463600000,2418000000,2736800000,2401500000,2603200000
P36871,3516500000,3486000000,3436600000,3406300000,3462200000,3032800000,3269900000,3258200000
P36873,4270100000,3919400000,4139400000,4237900000,4568800000,4110500000,4036300000,4197500000
P36915,1030500000,907060000,898310000,955840000,1045500000,940680000,835620000,985510000
P36952,2767900000,2947500000,2702100000,2810200000,2599200000,2832400000,2634300000,2526400000
P36957,979240000,898680000,896640000,869600000,882140000,928120000,871250000,800050000
P36959,0,143820000,0,152660000,136860000,0,165290000,157150000
P37108,962210000,1017300000,829170000,828060000,651140000,800150000,0,519050000
P37198,460740000,460770000,509560000,520590000,382150000,381880000,379530000,398370000
P37235,1340200000,1353000000,1476700000,1529000000,1552900000,1439100000,1336400000,1357100000
P37268,703050000,606740000,569730000,519710000,605650000,591310000,544100000,568980000
P37802,3506000000,3355100000,3436100000,3159100000,3233300000,3058800000,3216600000,3102300000
P37837,7549700000,8844200000,7756300000,8521800000,9741500000,8529400000,9126400000,9674100000
P38117,3281600000,3379400000,2975600000,3457000000,3167600000,2912900000,2862800000,2787300000
P38159,1134100000,1194800000,1214800000,1181700000,1098900000,908960000,946350000,1089400000
P38432,0,0,0,0,0,0,0,0
P38606,3461900000,3298500000,2838000000,2931700000,3342100000,3507900000,3016600000,2994400000
P38646,18607000000,19086000000,19098000000,19359000000,17218000000,17815000000,17456000000,18174000000
P38919,11869000000,12418000000,11791000000,11673000000,11665000000,11651000000,11112000000,11255000000
P38935,0,0,0,0,0,0,0,0
P39019,4180500000,3544500000,3739200000,3891200000,4999700000,4028700000,3981200000,3737900000
