"ID","log2sum","n","type"
"P13489",0.0692064267214391,1,"ns"
"P13498",-0.633053536194366,1,"down"
"P13611",-0.331527565210296,2,"ns"
"P13639",-0.468535706784768,3,"ns"
"P13667",2.15503273390786,6,"up"
"P13804",0.486204484012083,1,"ns"
"P13805",1.90287026832355,2,"up"
"P13929",0.205517490561434,1,"ns"
"P14207",-0.0922419003585255,1,"ns"
"P14555",0.248228645718405,2,"ns"
"P14618",-0.430344403125095,2,"ns"
"P14625",0.304464079531657,7,"ns"
"P14854",-0.397521980332604,1,"ns"
"P14866",0.109338953051094,2,"ns"
"P14927",0.224147732634675,1,"ns"
"P15090",0.621758466440264,2,"up"
"P15121",-0.293635719147873,1,"ns"
"P15144",3.51319842742684,1,"up"
"P15153",0.840392299333765,1,"up"
"P15311",0.059686035977186,1,"ns"
"P15531",0.0477813284210688,1,"ns"
"P15586",0.581553595444274,1,"up"
"P16070",-0.639294483845382,2,"down"
"P16083",0.0950515995737826,1,"ns"
"P16104",0.156647981829209,1,"ns"
"P16219",0.764373539435185,1,"up"
"P16278",0.406591156624599,1,"ns"
"P16452",0.381129824244616,1,"ns"
"P16615",0.165779646295052,3,"ns"
"P17568",0.19281466688255,1,"ns"
"P17661",0.0578345224268204,1,"ns"
"P17844",-0.157054052610311,1,"ns"
"P17858",-0.478575644694109,2,"ns"
"P17931",0.134484882984413,1,"ns"
"P18077",0.475232636883839,2,"ns"
"P18124",1.11116957446624,1,"up"
"P18206",2.01241610348156,5,"up"
"P18621",0.290944655712752,1,"ns"
"P19237",0.61567274731193,2,"up"
"P19320",0.0362895735503178,1,"ns"
"P19338",-1.88281195041982,1,"down"
"P19367",0.283642340694114,2,"ns"
"P19823",0.174581606978021,1,"ns"
"P19827",0.48912321270327,4,"ns"
"P20020",0.289502896210956,1,"ns"
"P20339",-0.596707662497265,1,"down"
"P20340",-0.0375120764635956,1,"ns"
"P20618",0.483329828944579,1,"ns"
"P20700",-0.419870818298118,1,"ns"
"P20774",0.560341569193943,2,"up"
"P20929",-0.190659275647103,3,"ns"
"P21266",0.668791106588477,1,"up"
"P21291",0.800858445958292,1,"up"
"P21333",-1.12108768198831,6,"down"
"P21695",0.140599048014205,1,"ns"
"P21796",-0.668086519804325,2,"down"
"P21810",0.643474034009185,1,"up"
"P21912",0.330722325118907,1,"ns"
"P21980",2.90818496645665,3,"up"
"P22105",-2.61813619847759,15,"down"
"P22234",0.425651487390904,1,"ns"
"P22307",1.630270993152,1,"up"
"P22314",0.490182069382111,2,"ns"
"P22626",-0.312208581583115,1,"ns"
"P22695",0.0511054056426295,1,"ns"
"P22897",1.25165078156782,1,"up"
"P23246",-0.385289062161647,2,"ns"
"P23284",0.0315151548452337,1,"ns"
"P23381",-0.150488457723412,1,"ns"
"P23396",-0.101782513399852,1,"ns"
"P23458",0.107890344076657,1,"ns"
"P23528",0.350929865980067,1,"ns"
"P23588",0.459009283981908,1,"ns"
"P23634",0.423830091974573,4,"ns"
"P24311",0.311419962312833,1,"ns"
"P24534",0.136264994124356,1,"ns"
"P24821",0.723272083758708,5,"up"
"P25398",-0.528846318956703,1,"down"
"P25685",-0.0858054682516221,1,"ns"
"P25705",2.63054532887127,6,"up"
"P25774",0.215189271215484,1,"ns"
"P25789",0.676107043943803,1,"up"
"P26038",0.490426791833141,2,"ns"
"P26368",0.0863645462508769,1,"ns"
"P26373",0.648248331537295,1,"up"
"P26599",0.0592815865806911,2,"ns"
"P26639",-0.500253654693798,1,"down"
"P26641",1.50464400054116,2,"up"
"P26678",-0.0968388419547829,2,"ns"
"P27105",0.252227898408856,2,"ns"
"P27338",0.723889567427749,1,"up"
"P27348",-0.0397883050570283,1,"ns"
"P27487",0.399148326437836,2,"ns"
"P27635",-0.480723252884627,1,"ns"
"P27694",0.426191007678762,2,"ns"
"P27824",-0.114568952463641,2,"ns"
"P28066",1.20063472458044,1,"up"
"P28906",-0.927512444849177,1,"down"
"P29692",0.186263613717594,2,"ns"
"P29728",0.862274334474928,2,"up"
"P29992",0.508084995601641,1,"up"
"P30043",0.171849929249085,1,"ns"
"P30044",1.93708250037702,1,"up"
"P30048",0.00776966726599863,1,"ns"
"P30050",0.0902071811748534,1,"ns"
"P30085",0.456183405149267,1,"ns"
"P30086",0.445757531947866,2,"ns"
"P30101",-1.23702453127517,5,"down"
"P30486",0.709658328996287,1,"up"
"P30533",-0.183466302635639,1,"ns"
"P30740",0.569016591657782,1,"up"
"P30876",0.272076542619166,1,"ns"
"P31040",0.666429663425041,2,"up"
"P31146",0.363740547603961,1,"ns"
"P31150",0.0238771200972163,2,"ns"
"P31153",0.654824672796451,1,"up"
"P31749",0.255851561272668,1,"ns"
"P31930",-0.0860617099086423,1,"ns"
"P31943",0.387880266365749,1,"ns"
"P31948",0.563850870131207,1,"up"
"P32119",-0.118541326449402,1,"ns"
"P32455",1.21171557649834,1,"up"
"P32456",0.741252992275024,1,"up"
"P33121",0.0401998519701997,1,"ns"
"P33176",0.0185851742807978,1,"ns"
"P35221",1.06479703830552,3,"up"
"P35241",0.0570293650866793,1,"ns"
"P35443",0.411936584547694,3,"ns"
"P35542",0.269104362674854,1,"ns"
"P35555",-3.53356256111927,13,"down"
"P35579",2.3515909788533,15,"up"
"P35580",0.931267377614467,2,"up"
"P35606",0.70885360062851,4,"up"
"P35609",0.654903271073098,1,"up"
"P35749",-2.00528698507526,8,"down"
"P36578",0.861029589235562,2,"up"
"P36776",0.0484843352471605,1,"ns"
"P36871",0.621204515471501,1,"up"
"P36957",0.139136441866207,1,"ns"
"P37235",0.447607721415838,1,"ns"
"P37802",0.569132817213989,1,"up"
"P38606",0.43868778827974,2,"ns"
"P38646",0.964937050771749,2,"up"
"P38919",-0.331144303862202,1,"ns"
"P39023",0.350211427487283,4,"ns"
"P39059",-0.0221500586346671,1,"ns"
"P39060",-0.651726343601725,1,"down"
"P39656",0.627788280929718,1,"up"
"P39687",0.127542187720506,1,"ns"
"P40121",-0.99575316057175,1,"down"
"P40227",0.608927679691244,2,"up"
"P40429",0.978784167928286,1,"up"
"P40763",-0.205043933902114,2,"ns"
"P40925",0.760006739875015,2,"up"
"P41240",0.328933538164884,1,"ns"
"P41250",0.0663523434276316,2,"ns"
"P41252",-0.790979802256509,1,"down"
"P41594",0.682105613940685,1,"up"
"P42167",-0.282910652733373,1,"ns"
"P42224",0.7086330934148,2,"up"
"P42330",1.10446595489853,2,"up"
"P42356",0.354255474581816,1,"ns"
"P42704",0.135106717706889,1,"ns"
"P42765",-0.145516523343098,1,"ns"
"P42785",-0.216973092191967,2,"ns"
"P42892",0.206955398588166,1,"ns"
"P43034",0.611902879570885,1,"up"
"P43243",-1.69165098396137,1,"down"
"P43686",0.30107919761483,1,"ns"
"P45880",-0.204264194331893,1,"ns"
"P45974",0.108932517135538,2,"ns"
"P46063",-0.0667945143347306,1,"ns"
"P46459",0.36257708342034,1,"ns"
"P46777",-0.831375196271708,2,"down"
"P46779",1.76486243642459,1,"up"
